C/A,UNIT,SCP,STATION,LINENAME,DIVISION,DATE,TIME,DESC,ENTRIES,EXITS                                                               
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/19/2017,00:00:00,REGULAR,0005409367,0007448248                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/19/2017,04:00:00,REGULAR,0005409388,0007448264                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/19/2017,08:00:00,REGULAR,0005409430,0007448603                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/19/2017,12:00:00,REGULAR,0005409598,0007449201                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/19/2017,16:00:00,REGULAR,0005409881,0007449437                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/19/2017,20:00:00,REGULAR,0005410494,0007449748                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/20/2017,00:00:00,REGULAR,0005410717,0007449850                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/20/2017,04:00:00,REGULAR,0005410734,0007449858                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/20/2017,08:00:00,REGULAR,0005410781,0007450221                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/20/2017,12:00:00,REGULAR,0005411052,0007450936                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/20/2017,16:00:00,REGULAR,0005411334,0007451218                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/20/2017,20:00:00,REGULAR,0005411951,0007451543                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/21/2017,00:00:00,REGULAR,0005412222,0007451650                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/21/2017,04:00:00,REGULAR,0005412242,0007451657                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/21/2017,08:00:00,REGULAR,0005412288,0007451990                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/21/2017,12:00:00,REGULAR,0005412494,0007452619                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/21/2017,16:00:00,REGULAR,0005412747,0007452882                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/21/2017,20:00:00,REGULAR,0005413355,0007453180                                            
A002,R051,02-03-02,59 ST,NQR456W,BMT,06/22/2017,00:00:00,REGULAR,0005413602,0007453331                                            
